metric,n_sessions,mean,std,cv_percent,repeatability_coeff,min,max
max_speed,71,8.184331403454136,9.680571603401473,118.2817645839202,26.833175479986274,0.37830600457409475,59.63826723025004
max_ang_vel,71,10.168717713155104,19.600960780234,192.75744821666706,54.33109135906209,0.0,117.92001963503915
max_accel,71,185.15784658159575,400.39226369793363,216.2437461279762,1109.8307323981294,10.055071497517698,2487.040612206282
swing_tempo,71,0.6040878609275541,0.7770533283206855,128.63250175687185,2.153881936972603,0.0,3.5833333333333326
smoothness_index,71,-5.881986649279712,1.2656599860865039,21.51755965378623,3.508230494645894,-9.10024051441032,-3.1657738480275737
path_efficiency,71,0.7264332906967594,0.27730684353627344,38.17375209639611,0.7686553541730287,0.01473491769455176,1.0
curvature_rms,71,1063.3817742821395,1686.763618024264,158.62258116685823,4675.470210849752,0.0,9440.225058423859
backswing_duration,71,0.6733707466251485,1.5174735979905931,225.35484435520615,4.206222215929933,0.0,12.178833333333333
downswing_duration,71,1.6763059306661132,2.8115176841330864,167.721036637738,7.7931294219155,0.02,13.263250000000001
backswing_peak_speed,71,1.065474252450314,5.5331108648718725,519.3096738046138,15.337000837342826,0.0,45.443066574147906
downswing_peak_speed,71,8.184331403454136,9.680571603401473,118.2817645839202,26.833175479986274,0.37830600457409475,59.63826723025004
