time,stick_speed,angular_velocity,acceleration,angular_acceleration,energy_proxy,jerk,time_norm,tip_x_m,tip_y_m,tip_x_m_raw,tip_y_m_raw,scale_m,hip_angle_deg,shoulder_angle_deg,x_factor_deg,wrist_angle_deg,arc_radius_px,curvature_1_m,path_efficiency,phase
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.086085193213858,3.4711675476279513,1.095515516432672,3.422111721373731,0.005550447746921208,-176.03971829717221,175.14895845509156,-8.81132324773618,68.28894862025795,282.38024179548773,,0.0,backswing
0.016683333333333335,0.006760208103101423,0.011971023034469999,0.40520727890717817,0.7175438382299699,4.570041359723814e-05,24.288148585844844,0.0071428571428571435,1.0859387429973952,3.4710666230096368,1.095456376203214,3.4220292505379866,0.005550274424050537,-176.03549745286904,175.18129370501842,-8.78320884211259,68.15519928088416,282.3526077960638,5279.704616209959,1.0,backswing
0.03336666666666667,0.020904550585851032,0.038764789834561324,0.8478127362287476,1.6060199880174617,0.0004370002351964047,26.529797641652515,0.014285714285714287,1.0857289800006822,3.471277022009915,1.0951521418561365,3.422406413037595,0.005550135765754,-175.95262742297183,175.17248537848437,-8.874887198543778,66.7846305529491,282.27030895493135,3357.1141322561275,0.7846088644054475,backswing
0.050050000000000004,0.013326956606623221,0.010621971790874134,-0.45420143731635226,-1.6868822004208104,0.00017760777239481833,-78.04280760510089,0.021428571428571432,1.0854021334627646,3.470825865175633,1.0947615851656676,3.4218641870017996,0.005549125024697662,-175.68185731821606,175.14780895669494,-9.170333725088971,66.67404148140128,282.3028621399471,380.05051947887176,0.7400217584090547,backswing
0.06673333333333334,0.005386861919904073,-0.0020269797140393484,-0.4759297514516972,-0.7581789113834255,2.9018281344112594e-05,-1.3023964516690265,0.028571428571428574,1.085206619508341,3.470401852483292,1.0947420372716778,3.4213858873133205,0.005548316431852591,-175.59167984862552,175.4428342610742,-8.965485890300293,66.40748230864001,281.9920490114856,149.57666321415252,0.7774659949560474,backswing
0.08341666666666667,0.008465937277750375,0.004764762117926137,0.1845599615092689,0.40709741250542386,7.167209399080342e-05,39.58979298467331,0.03571428571428572,1.08490643943468,3.4695174565138114,1.0943811836882353,3.4205886733035014,0.005546678989014589,-175.45617607811795,175.47713580877993,-9.06668811310208,64.89356008188877,282.0051561708065,125.44881324351928,0.833507687695838,backswing
0.10010000000000001,0.006450824435002434,-0.0004030976809619668,-0.12078598458029606,-0.30976182610717895,4.161313589122448e-05,-18.302454311062824,0.042857142857142864,1.0847373506854618,3.4687612319645273,1.0942275316699746,3.4198326206595047,0.005545369034744187,-175.83797453162012,175.36236061689004,-8.799664851489812,63.298516019202616,281.9871087584396,6.4529215697322435,0.85979675222641,backswing
0.11678333333333334,0.010898461702782811,-0.028194520874887722,0.2665916444224003,-1.6658195720634825,0.00011877646748702361,23.219438301859928,0.05,1.0842354001827286,3.466613530858631,1.093900289676893,3.418082691507491,0.005542139010536887,-175.7954312215035,175.37928943801407,-8.825279340482393,62.576149310394506,281.9814941794708,16.846869786661582,0.9079973800472728,backswing
0.13346666666666668,0.021952166718553535,-0.010195611217493917,0.662559741205038,1.078855723719908,0.00048189762363916945,23.73435145550275,0.05714285714285715,1.083849495062988,3.4646510744845957,1.0934543834690231,3.415729030902745,0.005539554991171047,-175.95554055635665,175.30493426178836,-8.739525181855003,61.13048543716854,282.16886202173595,17.10852207864295,0.9293003097435859,backswing
0.15015,0.02389577541075363,-0.014549965288013372,0.11650002151049527,-0.2610002439871802,0.0005710080824811778,-32.73085232934323,0.0642857142857143,1.083204838710865,3.461958129653719,1.0928802725267774,3.4130837492121087,0.005535875233952992,-175.96263043441067,175.28843871511228,-8.748930850477073,60.53110941473244,282.31287096029916,7.884396327346803,0.9476414890488565,backswing
