session_id,pipeline_variant,processed,samples,valid_deviation_samples,mean_dev_m,p95_dev_m,max_dev_m,rms_jerk,smoothness_index,max_speed,max_accel
052f8a05-916d-4300-badf-aa80d38d1c6d,median_only,True,77,77,0.3468660500713142,1.2305855172405016,2.1708261067574006,36529.935840968574,-9.125297818886589,62.50621023338564,1549.2344760341052
052f8a05-916d-4300-badf-aa80d38d1c6d,kalman_without_rts,True,77,77,0.4264191866354547,1.4903347285114743,2.2712258433929873,22272.940664850794,-8.695555120211436,53.3972403153908,1191.740236000819
052f8a05-916d-4300-badf-aa80d38d1c6d,kalman_plus_rts_without_despiking,True,77,77,1.1263151961555413,1.8864307680053998,2.0792707156098578,4.32468367714155,-1.2719086942394833,0.6680657444416671,0.1992241058476063
052f8a05-916d-4300-badf-aa80d38d1c6d,full_pipeline,True,77,77,0.02831800760655447,0.03475914840134624,0.03517082919548226,27075.80695569777,-8.865162818032145,59.638267230250094,1502.9341678972028
0de5883a-0f0b-4e36-aa9d-2115230940b7,median_only,True,69,69,0.3313653695587635,1.0883897684250912,2.4248602543357993,44931.34381988286,-9.305098815589446,57.13685464200839,2856.415380054104
0de5883a-0f0b-4e36-aa9d-2115230940b7,kalman_without_rts,True,69,69,0.39139121639415875,1.2535730867628816,2.482989587522224,24659.77761030303,-8.78397831134394,40.008897849604416,1768.024109563862
0de5883a-0f0b-4e36-aa9d-2115230940b7,kalman_plus_rts_without_despiking,True,69,69,0.8248468024201131,1.3306598719221565,2.304105778390718,6.933503004918449,-1.6819054162254816,1.3307047478892136,0.39683059210400273
0de5883a-0f0b-4e36-aa9d-2115230940b7,full_pipeline,True,69,69,0.019535246930207837,0.02573395891779082,0.026041255223829687,42592.766965198294,-9.258671708355243,62.104440847319616,2694.282631628949
0f116f84-9ff5-4346-abf4-aa3ffef93b6a,median_only,True,502,502,0.062944273022605,0.19238493216496724,1.1032034543988039,1992.9602001044325,-6.598997251643207,20.084117844876307,444.3428493369085
0f116f84-9ff5-4346-abf4-aa3ffef93b6a,kalman_without_rts,True,502,502,0.07425668464960651,0.24837740554976878,1.0888935056785793,1119.4505711763618,-6.098009844531712,15.966626648009397,285.262635552967
0f116f84-9ff5-4346-abf4-aa3ffef93b6a,kalman_plus_rts_without_despiking,True,502,502,1.615451253327005,3.4701309600903496,3.5980467358724995,0.21173453029090286,1.348416610675338,0.2097274806991162,0.037507890838914815
0f116f84-9ff5-4346-abf4-aa3ffef93b6a,full_pipeline,True,502,502,0.05238169801234147,0.0657061331710412,0.07013996917880577,1456.1108271081364,-6.326388862275153,16.945726195625987,352.5237619184379
15f312b0-d99c-4535-8c57-5b099a1428be,median_only,True,649,649,0.05543089970606507,0.23252903153107138,0.5652525271811883,518.5806057615858,-5.4296325413794975,8.473388721272707,78.1645467300417
15f312b0-d99c-4535-8c57-5b099a1428be,kalman_without_rts,True,649,649,0.06451756722941325,0.2639158314869854,0.6414685196254184,291.86066125240757,-4.93035112418408,7.467891675330879,55.24996306766228
15f312b0-d99c-4535-8c57-5b099a1428be,kalman_plus_rts_without_despiking,True,649,649,1.0730527047317484,2.309398670880314,2.5060477102907357,0.013601122006957313,3.732848179529802,0.024924123866554532,0.0035600907783574906
15f312b0-d99c-4535-8c57-5b099a1428be,full_pipeline,True,649,649,0.02270081356920245,0.03533263266403628,0.03932904085042248,209.1457992431857,-4.6408982921357165,6.887890628566751,38.35053949831413
1923a324-7b77-4d06-a3a6-8a7fd6e6fd8b,median_only,True,177,177,0.12760918337050262,0.8499208523229616,1.1893633103488668,2898.5948887199975,-6.924375044102531,18.920974291401105,505.51415135885924
1923a324-7b77-4d06-a3a6-8a7fd6e6fd8b,kalman_without_rts,True,177,177,0.15344058773778824,0.9738550954346964,1.340090270597411,1801.7977774239541,-6.511412093733228,16.99564844184894,277.8241081615414
1923a324-7b77-4d06-a3a6-8a7fd6e6fd8b,kalman_plus_rts_without_despiking,True,177,177,0.8837425114067373,1.1537085566560406,1.5590343901555812,0.04022540164622112,2.790998953248534,0.09778299362563962,0.017397970593933172
1923a324-7b77-4d06-a3a6-8a7fd6e6fd8b,full_pipeline,True,177,177,0.013814303577713655,0.015020976696682417,0.14385362941077257,2256.123658885529,-6.70672579957635,18.069383670146436,363.21666026275284
1efface8-4d43-4627-bf20-1017135f0a83,median_only,True,328,328,0.11080555779567094,0.3004239821377814,1.2883645250531408,3423.6048691452957,-7.068967270741468,25.75533610152814,466.4255470806824
1efface8-4d43-4627-bf20-1017135f0a83,kalman_without_rts,True,328,328,0.1347468276780608,0.3645729462248472,1.3943292639560794,1981.2163533760797,-6.593863808166244,21.252061730764293,345.7349536737001
1efface8-4d43-4627-bf20-1017135f0a83,kalman_plus_rts_without_despiking,True,328,328,2.7552870091945327,5.038020239433294,5.349466952837783,1.0718530462493552,-0.06027049352095466,0.839906595598509,0.1484984707409409
1efface8-4d43-4627-bf20-1017135f0a83,full_pipeline,True,328,328,0.029310397922158282,0.03890554282382734,0.040599346091370184,3741.780044739617,-7.14615650905195,36.62463579736925,733.8454330140428
2850af90-f8fc-4050-a178-b659098e69df,median_only,True,83,83,0.2611204796149675,1.0590800985698499,2.3393933235264948,11164.795844035558,-8.095701572214029,32.2553416038927,967.6602481167811
2850af90-f8fc-4050-a178-b659098e69df,kalman_without_rts,True,83,83,0.3047100945569139,1.1951737732729746,2.351786566974853,6272.681645427478,-7.594906493090741,24.01081019551175,625.669099416613
2850af90-f8fc-4050-a178-b659098e69df,kalman_plus_rts_without_despiking,True,83,83,1.1522826200106517,1.7582098386004903,1.8642521538371282,1.1098968072796846,-0.09056520457031872,0.6855857388981514,0.12115046440037913
2850af90-f8fc-4050-a178-b659098e69df,full_pipeline,True,83,83,0.041389020080959835,0.05827893749234366,0.06011401328020564,8641.940607189212,-7.873222554485339,36.52771355248183,954.3631294733301
2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,median_only,True,183,183,0.15319628209018038,0.5714699212203076,1.9432545618284989,4288.850538476034,-7.264681823676035,32.273169109092706,726.3156654810502
2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,kalman_without_rts,True,183,183,0.1806036192777704,0.6467770675332742,2.023112526293503,2632.8565211120294,-6.840854385293679,23.059199896075476,537.5266528755209
2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,kalman_plus_rts_without_despiking,True,183,183,0.7794310852056735,1.289380683770947,1.7563661918032092,0.34202384474573383,0.9318872269792446,0.3713805719530347,0.06612961713140908
2ac2bc4c-b28e-4adf-a94e-a1227f7801d9,full_pipeline,True,183,183,0.013067473815281956,0.017060372781013473,0.07603055880530377,5401.9858618242215,-7.465106886418984,39.79447520008776,664.4054228205582
