metric,n_sessions,mean,std,cv_percent,repeatability_coeff,min,max
smoothness_index,71,-5.890729716846708,1.2748730129887547,21.64202185924074,3.5337677023334098,-9.10024051441032,-3.1657246440293245
path_efficiency,71,0.7346012257347606,0.2635614118214956,35.87816118301151,0.730554961307673,0.01473491769455176,1.0
max_speed,71,7.667207543794495,8.106700766295575,105.73211589735543,22.470628092799306,0.5301034693685834,59.63826723025004
downswing_peak_speed,71,7.667207543794495,8.106700766295575,105.73211589735543,22.470628092799306,0.5301034693685834,59.63826723025004
swing_tempo,71,0.6013730297734331,0.7802984514836302,129.75281777727997,2.162876959462274,0.0,3.5833333333333326
curvature_rms,71,1059.3597670862457,1689.8107272033512,159.51245079385563,4683.916366578862,0.0,9439.912272534715
downswing_duration,71,1.4965876208069582,2.4782088574795638,165.59062917701516,6.869244490215834,0.02,13.263250000000001
max_accel,71,158.80968226301127,293.07121357240595,184.54240912530676,812.3519585514672,10.047197872045835,2272.1533287073953
max_ang_vel,71,9.656288765931068,19.028474386029984,197.05784331103982,52.744240034065605,0.0,117.92001963503915
backswing_duration,71,0.6660468029631768,1.5189174978426583,228.04966424058244,4.210224502126792,0.0,12.178833333333333
backswing_peak_speed,71,0.9113323425837463,5.378330459990662,590.1612626566498,14.907971443708515,0.0,45.443066574147906
