session_id,scenario,processed,max_speed_baseline,max_speed_scenario,max_speed_delta,max_speed_pct_change,smoothness_index_baseline,smoothness_index_scenario,smoothness_index_delta,smoothness_index_pct_change,path_efficiency_baseline,path_efficiency_scenario,path_efficiency_delta,path_efficiency_pct_change,curvature_rms_baseline,curvature_rms_scenario,curvature_rms_delta,curvature_rms_pct_change,swing_tempo_baseline,swing_tempo_scenario,swing_tempo_delta,swing_tempo_pct_change
052f8a05-916d-4300-badf-aa80d38d1c6d,frame_thinning_2x,True,59.63826723025004,47.351327518964915,-12.286939711285122,-20.60244249526565,-9.10024051441032,-8.285901199525858,0.814339314884462,-8.94854716856052,0.01473491769455176,0.016825141963006978,0.002090224268455218,14.18551709473124,16.866262090103866,10.321889316954653,-6.544372773149213,-38.80155981323845,0.5416666666666667,0.11764705882352941,-0.4240196078431373,-78.28054298642535
052f8a05-916d-4300-badf-aa80d38d1c6d,landmark_dropout_10_percent,True,59.63826723025004,59.15587617570844,-0.48239105454159414,-0.8088616201392806,-9.10024051441032,-9.281774051000799,-0.18153353659047866,1.9948213050305488,0.01473491769455176,0.020862466066578114,0.006127548372026354,41.58522293132331,16.866262090103866,17.160177865267517,0.29391577516365075,1.7426254471410312,0.5416666666666667,0.48,-0.06166666666666676,-11.3846153846154
052f8a05-916d-4300-badf-aa80d38d1c6d,scale_reference_plus_5_percent,True,59.63826723025004,62.62018059176252,2.9819133615124827,4.999999999999968,-9.10024051441032,-9.142619112550197,-0.042378598139876544,0.4656865724897009,0.01473491769455176,0.014734917694551743,-1.734723475976807e-17,-1.177287523376002e-13,16.866262090103866,16.063106752480852,-0.8031553376230143,-4.761904761898955,0.5416666666666667,0.5416666666666667,0.0,0.0
0de5883a-0f0b-4e36-aa9d-2115230940b7,frame_thinning_2x,True,4.176600361876319,14.718848535475724,10.542248173599404,252.41218359860858,-6.557658985301804,-6.211307787746425,0.3463511975553786,-5.281628677729091,0.9030372316220044,0.9645291086544945,0.06149187703249004,6.809450915112375,1083.252313714702,98.56476975105804,-984.687543963644,-90.90103307390514,0.05882352941176471,0.09999999999999999,0.04117647058823528,69.99999999999997
0de5883a-0f0b-4e36-aa9d-2115230940b7,landmark_dropout_10_percent,True,4.176600361876319,4.167725138851956,-0.008875223024363166,-0.21249873713979212,-6.557658985301804,-6.704928873545127,-0.147269888243323,2.245769238281688,0.9030372316220044,0.8391616168045134,-0.06387561481749104,-7.073419852552465,1083.252313714702,65.2292578450296,-1018.0230558696725,-93.97838739699114,0.05882352941176471,0.05882352941176471,0.0,0.0
0de5883a-0f0b-4e36-aa9d-2115230940b7,scale_reference_plus_5_percent,True,4.176600361876319,4.385430379970136,0.20883001809381696,5.000000000000025,-6.557658985301804,-6.60003758344168,-0.042378598139876544,0.6462458361263224,0.9030372316220044,0.9030372316220059,1.4432899320127035e-15,1.598261822959742e-13,1083.252313714702,1031.6688702054132,-51.58344350928883,-4.761904761818441,0.05882352941176471,0.05882352941176471,0.0,0.0
0f116f84-9ff5-4346-abf4-aa3ffef93b6a,frame_thinning_2x,True,16.94572619562514,10.602115588090157,-6.343610607534984,-37.434870210358454,-6.285842455256705,-5.219753397216882,1.0660890580398226,-16.960161913512117,0.08929536091495978,0.09914679296673774,0.009851432051777964,11.032411931410358,367.8880737997657,335.3248135954446,-32.563260204321125,-8.851404142566652,0.19047619047619047,0.2556390977443609,0.06516290726817042,34.21052631578947
0f116f84-9ff5-4346-abf4-aa3ffef93b6a,landmark_dropout_10_percent,True,16.94572619562514,17.581426675633114,0.6357004800079729,3.7513911925007437,-6.285842455256705,-6.758763349902366,-0.4729208946456609,7.523588095183138,0.08929536091495978,0.0810887082438587,-0.008206652671101072,-9.19045803389121,367.8880737997657,333.1956576185791,-34.692416181186616,-9.430155161830285,0.19047619047619047,0.230188679245283,0.03971248876909253,20.84905660377358
0f116f84-9ff5-4346-abf4-aa3ffef93b6a,scale_reference_plus_5_percent,True,16.94572619562514,17.793012505406402,0.8472863097812606,5.000000000000021,-6.285842455256705,-6.3282210533965815,-0.042378598139876544,0.6741912232374883,0.08929536091495978,0.08929536091495978,0.0,0.0,367.8880737997657,350.36959409253546,-17.518479707230256,-4.761904762578746,0.19047619047619047,0.19047619047619047,0.0,0.0
15f312b0-d99c-4535-8c57-5b099a1428be,frame_thinning_2x,True,6.8878906285666215,4.910736354303608,-1.9771542742630137,-28.70478613674593,-4.574190682654739,-3.175591240668749,1.3985994419859895,-30.57588847988907,0.21099715431787935,0.12076793373927815,-0.09022922057860121,-42.76324051397665,2587.7668173147244,2003.9583849845974,-583.8084323301271,-22.56031835727509,0.08176100628930816,0.6074766355140186,0.5257156292247105,642.9906542056076
