metric,n_sessions,mean,std,cv_percent,repeatability_coeff,min,max,repeatability_rank,stability_label
smoothness_index,71,-5.881986649279712,1.265659986086504,21.51755965378623,3.508230494645894,-9.10024051441032,-3.1657738480275737,1,moderate
path_efficiency,71,0.7264332906967594,0.2773068435362734,38.17375209639611,0.7686553541730287,0.0147349176945517,1.0,2,low
downswing_peak_speed,71,8.184331403454136,9.680571603401471,118.2817645839202,26.833175479986277,0.3783060045740947,59.63826723025004,3,low
max_speed,71,8.184331403454136,9.680571603401471,118.2817645839202,26.833175479986277,0.3783060045740947,59.63826723025004,4,low
swing_tempo,71,0.6040878609275541,0.7770533283206855,128.63250175687185,2.153881936972603,0.0,3.5833333333333326,5,low
curvature_rms,71,1063.3817742821395,1686.763618024264,158.62258116685825,4675.470210849752,0.0,9440.22505842386,6,low
downswing_duration,71,1.6763059306661132,2.8115176841330864,167.721036637738,7.7931294219155,0.02,13.26325,7,low
max_ang_vel,71,10.168717713155104,19.600960780234,192.75744821666703,54.33109135906209,0.0,117.92001963503915,8,low
max_accel,71,185.15784658159572,400.3922636979336,216.2437461279762,1109.8307323981294,10.055071497517698,2487.040612206282,9,low
backswing_duration,71,0.6733707466251485,1.5174735979905931,225.35484435520613,4.206222215929933,0.0,12.178833333333332,10,low
backswing_peak_speed,71,1.065474252450314,5.5331108648718725,519.3096738046138,15.337000837342826,0.0,45.44306657414791,11,low
